,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
198106,  -5.7292,   0.7184,   1.4230,  -3.1640,   2.1176,  -0.0550
198107,  -2.9082,  -2.4291,  -1.5787,   1.2905,  -0.6100,  -1.0370
198108,  -9.8846,  -6.0119,  -4.7176,  -6.8246,  -5.4665,  -2.4762
198109, -10.2062,  -6.5999,  -4.9371,  -6.4300,  -6.0109,  -1.3539
198110,  10.6086,   6.6738,   5.8372,   8.0684,   3.9254,   4.4261
198111,   0.8531,   4.9633,   4.5630,   4.2079,   5.0910,   4.1649
198112,  -2.4036,  -0.8694,  -1.4615,  -3.1337,  -2.7394,  -2.4558
198201,  -4.8632,  -3.3260,  -0.8535,  -1.9213,  -3.7209,   0.4466
198202,  -7.4167,  -3.1474,  -0.7327,  -7.3158,  -3.4111,  -1.8960
198203,  -2.2742,  -0.4510,   1.5073,  -1.9474,  -0.5311,   1.8964
198204,   6.3584,   5.7347,   4.1462,   5.7382,   3.5294,   2.5601
198205,  -3.4446,  -2.3238,  -0.9464,  -3.4853,  -2.3037,  -2.4807
198206,  -3.5859,  -1.6384,  -1.3412,  -2.5237,  -1.1250,  -1.7167
198207,  -2.2867,  -0.6248,  -1.0541,  -0.6341,  -4.1228,  -1.6917
198208,   8.1860,   8.9050,   8.0868,  11.3557,  12.8785,  13.3486
198209,   2.7648,   4.7373,   5.2828,   1.9731,   1.9506,   0.0139
198210,  15.8771,  13.1747,  11.6901,  12.8302,  11.2070,   9.6909
198211,   9.8053,   8.5255,   9.2090,   7.1064,   2.4494,   3.9592
198212,   1.2810,   1.1297,   0.7614,   1.1325,   1.1039,   1.6070
198301,   9.5976,   5.5675,   4.9439,   2.7343,   3.2803,   5.8897
198302,   4.3293,   6.6137,   7.1598,   3.6533,   2.4065,   2.2234
198303,   2.5762,   6.4123,   6.1273,   2.5155,   4.4170,   3.0031
198304,   7.9818,   7.8369,   7.5278,   5.6970,   9.0128,   7.1267
198305,   7.9931,   5.4306,   5.1013,  -0.1600,   0.0474,  -0.0677
198306,   5.7463,   4.3136,   2.4488,   5.2835,   3.6074,   0.7795
198307,  -5.8404,   0.0074,   1.3222,  -5.2005,  -2.6970,  -1.1218
198308,  -4.7929,  -2.8201,  -0.3019,  -1.3140,   0.9511,   5.2747
198309,   0.2023,   2.5052,   3.9526,   2.5230,   1.5132,   0.7975
198310,  -8.9359,  -4.3566,  -2.2239,  -3.5906,  -0.8627,  -0.3673
198311,   4.7353,   4.2741,   4.3171,   2.9241,   2.4554,   1.9075
198312,  -3.1882,  -0.4239,   0.2055,  -0.7589,  -1.1349,  -0.6913
198401,  -4.1567,  -0.2290,   2.0888,  -5.3302,   0.5847,   3.5896
198402,  -6.9650,  -5.0064,  -3.5449,  -4.7770,  -4.1422,  -1.5333
198403,   0.1461,   1.4441,   2.2646,   1.6286,   1.5890,   0.4238
198404,  -1.1081,   0.0142,  -0.0244,   0.3973,   0.2327,   1.7183
198405,  -5.9648,  -4.8335,  -4.2850,  -4.8224,  -4.5671,  -5.8762
198406,   4.5857,   2.1225,   1.0123,   4.4134,   1.5413,   2.6706
